Sample	Acinetobacter	Actinomyces	Aeriscardovia	Aeromonas	Anaerococcus	Anaerostipes	Anaerotruncus	Asaccharobacter	Atlantibacter	Atopobium	Bacteroides	Bifidobacterium	Blautia	Campylobacter	Candida	Citrobacter	Clostridioides	Clostridium	Collinsella	Coprobacillus	Corynebacterium	Cronobacter	Cutibacterium	Denitrobacterium	Dermabacter	Dialister	Eggerthella	Enorma	Enterobacter	Enterococcus	Enterorhabdus	Erysipelatoclostridium	Escherichia	Faecalibacterium	Finegoldia	Flavonifractor	Fusicatenibacter	Fusobacterium	Gemella	Gordonibacter	Granulicatella	Haemophilus	Hafnia	Intestinibacter	Klebsiella	Kluyvera	Lachnoclostridium	Lactobacillus	Lactococcus	Leclercia	Leuconostoc	Malassezia	Megasphaera	Mixta	Morganella	Morococcus	Mycoplasma	Negativicoccus	Neisseria	Pantoea	Parabacteroides	Paraclostridium	Peptococcus	Peptoniphilus	Peptostreptococcus	Pluralibacter	Prevotella	Proteus	Pseudomonas	Rahnella	Ralstonia	Raoultella	Rhodococcus	Roseburia	Rothia	Ruminococcaceae_unclassified	Ruthenibacterium	Scardovia	Serratia	Staphylococcus	Stenotrophomonas	Streptococcus	Terrisporobacter	Ureaplasma	Varibaculum	Veillonella
1002.01_30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01285	0	0	0	0	0	0	0	0	19.40108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80.58606	0	0	0	0	0	0
1002.01_34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72.49417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27.50583	0	0	0	0	0	0
1002.01_37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95.21326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.78674	0	0	0	0	0	0
1002.01_39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00909	0	0	0	0	0	0	0	0	84.16001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.78974	0	0.04117	0	0	0	0
1002.01_40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52.35305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.45192	0	0	0	0.77369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.00128	0	39.42005	0	0	0	0
1002.01_41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.88934	0	0	96.98884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12182	0	0	0	0	0	0
1002.01_42a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.97321	0	0	0	0	0	14.70647	60.69441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.05015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.36767	0	0.20809	0	0	0	0
1002.01_42b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98.21512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.38565	0	0.39923	0	0	0	0
1002.01_43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42.41628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57.36696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02023	0	0.19653	0	0	0	0
1002.01_44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43.16972	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.73321	0	56.09707	0	0	0	0
