Sample	Acidaminococcaceae	Actinomycetaceae	Aeromonadaceae	Akkermansiaceae	Alcaligenaceae	Atopobiaceae	Bacillaceae	Bacillales_unclassified	Bacteroidaceae	Barnesiellaceae	Bifidobacteriaceae	Campylobacteraceae	Carnobacteriaceae	Catabacteriaceae	Christensenellaceae	Clostridiaceae	Clostridiales_Family_XIII_Incertae_Sedis	Clostridiales_unclassified	Coriobacteriaceae	Corynebacteriaceae	Corynebacteriales_unclassified	Debaryomycetaceae	Dermabacteraceae	Desulfovibrionaceae	Dysgonamonadaceae	Eggerthellaceae	Enterobacterales_unclassified	Enterobacteriaceae	Enterococcaceae	Erwiniaceae	Erysipelotrichaceae	Eubacteriaceae	Firmicutes_unclassified	Fusobacteriaceae	Hafniaceae	Lachnospiraceae	Lactobacillaceae	Leuconostocaceae	Malasseziaceae	Micrococcaceae	Moraxellaceae	Morganellaceae	Mycoplasmataceae	Neisseriaceae	Odoribacteraceae	Oscillospiraceae	Paenibacillaceae	Pasteurellaceae	Peptococcaceae	Peptoniphilaceae	Peptostreptococcaceae	Porphyromonadaceae	Prevotellaceae	Propionibacteriaceae	Proteobacteria_unclassified	Pseudomonadaceae	Rikenellaceae	Ruminococcaceae	Saccharomycetaceae	Selenomonadaceae	Sphingobacteriaceae	Staphylococcaceae	Streptococcaceae	Sutterellaceae	Tannerellaceae	Veillonellaceae	Xanthomonadaceae	Yersiniaceae
SRR3131692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.23728	0	0	0	0	0	0	0	97.38183	2.13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02226	0	0	0	0	0	0	0	0	0	0	0	0	0.19926	0	0	0.02938	0	0
SRR3131694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67.63082	32.1167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25249	0	0	0	0	0
SRR3131696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99.51916	0.48084	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR3131698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01525	0	0	0.84861	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33.70335	0	0	0	0	0	30.5476	0	0	0	0	0	0	0	34.88518	0	0	0	0	0	0
SRR3131700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79.86555	8.00221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.13224	0	0	0	0	0
SRR3131702	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99.99106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00894	0	0	0	0	0
SRR3131704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75.81872	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12733	0	0	0	0	0	21.03043	0	0	0	0	3.02352	0
SRR3131706	0	0	0	0	0	0	0	0	0	0	16.65079	0	0	0	0	0	0	0	0	1.42213	0	0	0	0	0	0	0	80.4825	1.43986	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00472	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR3131708	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.34586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.51463	0	0	0	0	0	0	0	0	0	0	0	7.99288	88.14663	0	0	0	0	0
SRR3131710	0	0	0	0	0	0	0	0	43.87588	0	0.2044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38.68697	11.47938	0	0	0	0	0	0	1.13667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.20528	0	0.82366	0	0	3.58775
