Taxa	Abundance	Model
Escherichia	0.02662611	m1
Enterococcus	0.14167526	m1
Veillonella	0.01719582	m1
Klebsiella	0.07653535	m1
Staphylococcus	0.36069731	m1
Streptococcus	0.0940095	m1
Enterobacter	0.02408595	m1
Rothia	0	m1
Actinomyces	0	m1
Cutibacterium	0.03718246	m1
Clostridium	0.01024701	m1
Pseudomonas	0	m1
Citrobacter	0	m1
Bifidobacterium	0	m1
Clostridioides	0	m1
Corynebacterium	0.04716938	m1
Lactococcus	0	m1
Finegoldia	0	m1
Negativicoccus	0	m1
Megasphaera	0	m1
Scardovia	0	m1
Atopobium	0	m1
Varibaculum	0	m1
Dermabacter	0	m1
Proteus	0	m1
Terrisporobacter	0	m1
Erysipelatoclostridium	0	m1
Lactobacillus	0	m1
Anaerostipes	0	m1
Anaerococcus	0	m1
Pluralibacter	0	m1
Raoultella	0	m1
Serratia	0.01901815	m1
Gemella	0.01276717	m1
Ralstonia	0.01330317	m1
Eggerthella	0	m1
Acinetobacter	0	m1
Neisseria	0	m1
Candida	0.01333255	m1
Peptostreptococcus	0	m1
Haemophilus	0	m1
Morococcus	0	m1
Cronobacter	0	m1
Peptococcus	0	m1
Peptoniphilus	0	m1
Fusobacterium	0	m1
Intestinibacter	0	m1
Gordonibacter	0	m1
Dialister	0	m1
Kluyvera	0	m1
Bacteroides	0	m1
Blautia	0	m1
Malassezia	0	m1
Mycoplasma	0	m1
Ureaplasma	0	m1
Atlantibacter	0	m1
Hafnia	0	m1
Mixta	0	m1
Morganella	0	m1
Stenotrophomonas	0	m1
Aeromonas	0	m1
Pantoea	0	m1
Paraclostridium	0	m1
Leclercia	0	m1
Ruminococcaceae_unclassified	0	m1
Aeriscardovia	0	m1
Flavonifractor	0	m1
Lachnoclostridium	0	m1
Anaerotruncus	0	m1
Campylobacter	0	m1
Prevotella	0	m1
Granulicatella	0	m1
Roseburia	0	m1
Faecalibacterium	0	m1
Collinsella	0	m1
Leuconostoc	0	m1
Rhodococcus	0	m1
Asaccharobacter	0	m1
Denitrobacterium	0	m1
Enterorhabdus	0	m1
Coprobacillus	0	m1
Parabacteroides	0	m1
Enorma	0	m1
Fusicatenibacter	0	m1
Ruthenibacterium	0	m1
Rahnella	0	m1
Other	0.10615481	m1
Escherichia	0.013704025	m2
Enterococcus	0.286380875	m2
Veillonella	0.010977525	m2
Klebsiella	0.404040416	m2
Staphylococcus	0.053864211	m2
Streptococcus	0.020465461	m2
Enterobacter	0.051667015	m2
Rothia	0	m2
Actinomyces	0	m2
Cutibacterium	0.028460967	m2
Clostridium	0.020004553	m2
Pseudomonas	0	m2
Citrobacter	0	m2
Bifidobacterium	0	m2
Clostridioides	0	m2
Corynebacterium	0.01210534	m2
Lactococcus	0	m2
Finegoldia	0	m2
Negativicoccus	0	m2
Megasphaera	0	m2
Scardovia	0	m2
Atopobium	0	m2
Varibaculum	0	m2
Dermabacter	0	m2
Proteus	0	m2
Terrisporobacter	0	m2
Erysipelatoclostridium	0	m2
Lactobacillus	0	m2
Anaerostipes	0	m2
Anaerococcus	0	m2
Pluralibacter	0	m2
Raoultella	0	m2
Serratia	0	m2
Gemella	0	m2
Ralstonia	0	m2
Eggerthella	0	m2
Acinetobacter	0	m2
Neisseria	0	m2
Candida	0	m2
Peptostreptococcus	0	m2
Haemophilus	0	m2
Morococcus	0	m2
Cronobacter	0	m2
Peptococcus	0	m2
Peptoniphilus	0	m2
Fusobacterium	0	m2
Intestinibacter	0	m2
Gordonibacter	0	m2
Dialister	0	m2
Kluyvera	0	m2
Bacteroides	0	m2
Blautia	0	m2
Malassezia	0	m2
Mycoplasma	0	m2
Ureaplasma	0	m2
Atlantibacter	0	m2
Hafnia	0	m2
Mixta	0	m2
Morganella	0	m2
Stenotrophomonas	0	m2
Aeromonas	0	m2
Pantoea	0	m2
Paraclostridium	0	m2
Leclercia	0	m2
Ruminococcaceae_unclassified	0	m2
Aeriscardovia	0	m2
Flavonifractor	0	m2
Lachnoclostridium	0	m2
Anaerotruncus	0	m2
Campylobacter	0	m2
Prevotella	0	m2
Granulicatella	0	m2
Roseburia	0	m2
Faecalibacterium	0	m2
Collinsella	0	m2
Leuconostoc	0	m2
Rhodococcus	0	m2
Asaccharobacter	0	m2
Denitrobacterium	0	m2
Enterorhabdus	0	m2
Coprobacillus	0	m2
Parabacteroides	0	m2
Enorma	0	m2
Fusicatenibacter	0	m2
Ruthenibacterium	0	m2
Rahnella	0	m2
Other	0.098329613	m2
Escherichia	0.012525144	m3
Enterococcus	0.122767752	m3
Veillonella	0.201180222	m3
Klebsiella	0.127184335	m3
Staphylococcus	0.064890784	m3
Streptococcus	0.078188921	m3
Enterobacter	0.013173428	m3
Rothia	0	m3
Actinomyces	0.018982263	m3
Cutibacterium	0.043737349	m3
Clostridium	0.05960541	m3
Pseudomonas	0	m3
Citrobacter	0.014468692	m3
Bifidobacterium	0.021677281	m3
Clostridioides	0	m3
Corynebacterium	0.014480215	m3
Lactococcus	0	m3
Finegoldia	0.023745539	m3
Negativicoccus	0	m3
Megasphaera	0	m3
Scardovia	0	m3
Atopobium	0	m3
Varibaculum	0.013267601	m3
Dermabacter	0	m3
Proteus	0	m3
Terrisporobacter	0	m3
Erysipelatoclostridium	0	m3
Lactobacillus	0.013810597	m3
Anaerostipes	0	m3
Anaerococcus	0.01036955	m3
Pluralibacter	0	m3
Raoultella	0	m3
Serratia	0	m3
Gemella	0	m3
Ralstonia	0	m3
Eggerthella	0.019246887	m3
Acinetobacter	0	m3
Neisseria	0	m3
Candida	0	m3
Peptostreptococcus	0	m3
Haemophilus	0.010767647	m3
Morococcus	0	m3
Cronobacter	0	m3
Peptococcus	0	m3
Peptoniphilus	0	m3
Fusobacterium	0	m3
Intestinibacter	0	m3
Gordonibacter	0.017579092	m3
Dialister	0	m3
Kluyvera	0	m3
Bacteroides	0	m3
Blautia	0	m3
Malassezia	0	m3
Mycoplasma	0	m3
Ureaplasma	0	m3
Atlantibacter	0	m3
Hafnia	0	m3
Mixta	0	m3
Morganella	0	m3
Stenotrophomonas	0	m3
Aeromonas	0	m3
Pantoea	0	m3
Paraclostridium	0	m3
Leclercia	0	m3
Ruminococcaceae_unclassified	0	m3
Aeriscardovia	0	m3
Flavonifractor	0	m3
Lachnoclostridium	0	m3
Anaerotruncus	0	m3
Campylobacter	0	m3
Prevotella	0	m3
Granulicatella	0	m3
Roseburia	0	m3
Faecalibacterium	0	m3
Collinsella	0	m3
Leuconostoc	0	m3
Rhodococcus	0	m3
Asaccharobacter	0	m3
Denitrobacterium	0	m3
Enterorhabdus	0	m3
Coprobacillus	0	m3
Parabacteroides	0	m3
Enorma	0	m3
Fusicatenibacter	0	m3
Ruthenibacterium	0	m3
Rahnella	0	m3
Other	0.098351291	m3
Escherichia	0.503531597	m4
Enterococcus	0.310456061	m4
Veillonella	0.042471181	m4
Klebsiella	0.021118084	m4
Staphylococcus	0.018316153	m4
Streptococcus	0.01572088	m4
Enterobacter	0.015052139	m4
Rothia	0	m4
Actinomyces	0	m4
Cutibacterium	0	m4
Clostridium	0	m4
Pseudomonas	0	m4
Citrobacter	0	m4
Bifidobacterium	0	m4
Clostridioides	0	m4
Corynebacterium	0	m4
Lactococcus	0	m4
Finegoldia	0	m4
Negativicoccus	0	m4
Megasphaera	0	m4
