genome	coverage	breadth	nucl_diversity	length	true_scaffolds	detected_scaffolds	coverage_median	coverage_std	coverage_SEM	breadth_minCov	breadth_expected	nucl_diversity_rarefied	conANI_reference	popANI_reference	iRep	iRep_GC_corrected	linked_SNV_count	SNV_distance_mean	r2_mean	d_prime_mean	consensus_divergent_sites	population_divergent_sites	SNS_count	SNV_count	filtered_read_pair_count	reads_unfiltered_pairs	reads_mean_PID	divergent_site_count	reads_unfiltered_reads
DJS64_225.01_Staphylococcus_aureus_100K	5.216409972	0.989949164	0.000198481	2731912	20	20	5	3.057505568	0.001851195	0.555762411	0.990009194	5.80E-07	0.999999341	1		FALSE	1	32	0.035714286	1	1	0	0	15	94990	99836	0.99733001	15	199964
DJS59_145.01_Escherichia_coli_100K	2.520909302	0.886204203	0.000392152	5155911	88	88	2	2.783669317	0.001228026	0.117451019	0.892036591	8.00E-06	0.999910827	0.999995046		FALSE	2	4	1	1	54	3	3	122	95323	99299	0.997957541	125	198927
DJS73_1002.01_Enterococcus_Faecalis_100K	4.816618785	0.987744216	0.000209512	2858079	31	31	5	2.579694159	0.001527576	0.501575359	0.985779553	0	0.999998605	1		FALSE	1	4	1	1	2	0	0	21	94236	99632	0.997930422	21	199689
DJS53_96.01_MRSA_100K	4.920771376	0.988244161	0.000197301	2786190	22	22	5	2.51060395	0.001505276	0.529235982	0.987029025	0	0.999996609	1		FALSE					5	0	0	39	95554	99612	0.998221094	39	199583
DJS50_86.01_MRSA_100K	4.5223233	0.981920182	0.000220218	2918005	31	31	4	3.292201302	0.001929325	0.442137008	0.981559602	5.90E-07	0.999982948	0.999997675		FALSE	4	21.25	0.611244019	1	22	3	3	56	95758	99781	0.998130512	59	200044
DJS68_340.01_Klebsiella_pneumonia_100K	2.519410002	0.861514725	0.00055414	5699819	83	83	2	4.608039644	0.001932943	0.109489266	0.891893565	2.37E-05	0.999929495	0.999988783		FALSE	33	37.54545455	0.445565819	1	44	7	7	95	94566	98734	0.997221083	102	198352
DJS51_87.01_Beta_Hemolytic_Strep_Group_B_100K	6.460756454	0.996982752	0.000185971	2096281	36	36	6	3.180688044	0.002200612	0.746092723	0.996670216	3.02E-06	0.999998082	1	1.350547186	FALSE					3	0	0	14	95808	99420	0.998310079	14	199342
DJS81_1117.01_Enterobacter_cloacae_100K	2.685592118	0.906760142	0.000387194	5014658	67	67	2	2.518078984	0.001125978	0.144964223	0.906647987	5.67E-06	0.999958731	0.999987619		FALSE	4	10.25	1	1	30	9	9	56	93732	99524	0.998149997	65	199574
DJS60_151.01_Beta_Hemolytic_Strep_Group_B_100K	6.772556134	0.997651191	0.000170788	2040609	19	19	6	3.526561133	0.002471021	0.762299392	0.997471596	5.49E-05	0.999996786	1	1.423620504	FALSE					5	0	0	19	95262	99731	0.998304178	19	199890
DJS54_130.01_Enterococcus_faecalis_100K	4.531976474	0.977391172	0.000199716	3015592	34	34	4	3.301544438	0.001903361	0.433757949	0.981716115	1.17E-06	0.999985474	0.999998471		FALSE	1	7	0.401913876	1	19	2	2	73	96783	98815	0.993979293	75	197838
DJS62_175.01_Beta_Hemolytic_Strep_Group_B_100K	6.410113375	0.994989395	0.000180103	2085377	90	90	6	7.428532531	0.005166463	0.708786469	0.996517936	1.67E-05	0.999991205	0.999992558	1.332686433	FALSE					13	11	11	12	94619	98872	0.997883328	23	198686
DJS35_273.01_Serratia_marcescens_SCV_100K	3.744145579	0.956548824	0.000496011	5032522	18	18	3	2.570616665	0.001146304	0.312158794	0.963340422	7.20E-07	0.999997454	0.999999363		FALSE	16	6.125	1	1	4	1	1	35	98100	99614	0.998217568	36	199546
DJS69_362.01_Staphylococcus_aureus_100K	5.241013915	0.989902641	0.000181086	2708827	13	13	5	3.068006471	0.00186498	0.554915836	0.990223906	0	0.999999335	1		FALSE					1	0	0	8	94600	99742	0.998032333	8	199832
DJS79_1057.01_Klebsiella_Pneumoniae_100K	2.356337742	0.86718033	0.000391352	5459997	63	63	2	2.522226406	0.001080661	0.101061228	0.875150495	8.85E-06	0.999980065	0.999992751		FALSE					11	4	4	83	93381	98770	0.998212735	87	198044
DJS65_254.01_Staphylococcus_aureus_100K	5.459494321	0.992293202	0.000221008	2683994	20	20	5	3.127875834	0.001910657	0.589225982	0.991939128	4.23E-06	0.999973443	0.999996838		FALSE	24	29.95833333	1	1	42	5	5	72	95060	99771	0.994804214	77	199907
DJS70_396.01_Staphylococcus_aureus_100K	4.852867262	0.986040614	0.000224381	2840741	53	53	5	2.734633168	0.00162553	0.511123682	0.986227505	0.000414198	0.999986226	0.999999311		FALSE	42	34.66666667	0.556171141	1	20	1	1	64	93277	99185	0.997199175	65	198980
DJS30_297.01_Escherichia_coli_100K	3.378809052	0.95060173	0.000519085	5038557	57	57	3	2.318483562	0.001034053	0.251035961	0.949384043	1.22E-05	0.999980235	0.999997628		FALSE					25	3	3	75	97629	99706	0.997870188	78	199902
DJS33_205.01_Serratia_marcescens_100K	3.046020416	0.906050429	0.000596797	5373702	75	75	2	3.297527277	0.001424487	0.184571083	0.932094349	0.001062265	0.999973786	0.999996975		FALSE	49	25.69387755	0.405757557	0.942988624	26	3	3	73	96083	99352	0.997781944	76	199260
DJS57_137.01_Serratia_Marcescens_100K	2.303465336	0.804800003	0.000711111	5417080	74	74	2	4.051791322	0.001743246	0.075371418	0.869183525	9.94E-05	0.999965711	0.999995102		FALSE	26	16.73076923	0.527888897	1	14	2	2	108	97455	99128	0.998227397	110	198719
